"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"FLVCR1-DT"	"NCRNA00292, FLVCR1-AS1"	"LQK1"	"FLVCR1-AS1"	"FLVCR1-DT,NCRNA00292, FLVCR1-AS1,LQK1,FLVCR1-AS1"
"FMN2"	""	""	""	"FMN2,,,"
"FMO1"	""	""	""	"FMO1,,,"
"FMO2"	""	""	""	"FMO2,,,"
"FMO3"	""	"FMOII"	""	"FMO3,,FMOII,"
"FMO4"	"FMO2"	""	""	"FMO4,FMO2,,"
"FMO5"	""	""	""	"FMO5,,,"
"FMO6P"	"FMO6"	""	""	"FMO6P,FMO6,,"
"FMO9P"	""	"RP11-45J16.2"	""	"FMO9P,,RP11-45J16.2,"
"FMOD"	""	"SLRR2E"	""	"FMOD,,SLRR2E,"
"FNDC3B"	""	"FAD104, DKFZp762K137, FLJ23399, PRO4979, YVTM2421"	""	"FNDC3B,,FAD104, DKFZp762K137, FLJ23399, PRO4979, YVTM2421,"
"FNDC4"	""	"FLJ22362, FRCP1"	""	"FNDC4,,FLJ22362, FRCP1,"
"FNDC11"	"C20orf195"	"MGC5356"	""	"FNDC11,C20orf195,MGC5356,"
"FNTA"	""	"FPTA, PGGT1A, PTAR2"	""	"FNTA,,FPTA, PGGT1A, PTAR2,"
"FOSL1"	""	"fra-1"	""	"FOSL1,,fra-1,"
"FOSL2"	""	"FRA2, FLJ23306"	""	"FOSL2,,FRA2, FLJ23306,"
"FOXD4L1"	""	"FOXD5"	""	"FOXD4L1,,FOXD5,"
"FOXH1"	""	"FAST1"	""	"FOXH1,,FAST1,"
"FOXJ1"	"FKHL13"	"HFH-4, HFH4"	""	"FOXJ1,FKHL13,HFH-4, HFH4,"
"FOXJ3"	""	"KIAA1041"	""	"FOXJ3,,KIAA1041,"
"FOXL2"	"BPES"	"BPES1"	""	"FOXL2,BPES,BPES1,"
"FOXL2NB"	"C3orf72"	"FLJ43329"	""	"FOXL2NB,C3orf72,FLJ43329,"
"FOXN1"	"WHN, RONU"	"FKHL20"	""	"FOXN1,WHN, RONU,FKHL20,"
"FOXO6"	""	""	""	"FOXO6,,,"
"FOXS1"	"FKHL18"	"FREAC10"	""	"FOXS1,FKHL18,FREAC10,"
"FRG1BP"	"C20orf80, FRG1B"	"bA348I14.2"	""	"FRG1BP,C20orf80, FRG1B,bA348I14.2,"
"FRMD8"	""	"FLJ90369, FKSG44, iTAP"	""	"FRMD8,,FLJ90369, FKSG44, iTAP,"
"FSBP"	""	""	""	"FSBP,,,"
"FSCN2"	""	"RP30, RFSN"	""	"FSCN2,,RP30, RFSN,"
"FTH1P10"	"FTHL10"	""	""	"FTH1P10,FTHL10,,"
"FUT7"	""	""	""	"FUT7,,,"
"FUT10"	""	""	""	"FUT10,,,"
"FXR1"	""	""	""	"FXR1,,,"
"FXYD1"	"PLM"	""	""	"FXYD1,PLM,,"
"FXYD3"	"PLML"	"MAT-8"	""	"FXYD3,PLML,MAT-8,"
"FXYD5"	""	"OIT2"	""	"FXYD5,,OIT2,"
"FXYD7"	""	""	""	"FXYD7,,,"
"FYB1"	"FYB"	"SLAP-130, FYB-120/130, ADAP"	""	"FYB1,FYB,SLAP-130, FYB-120/130, ADAP,"
"FYTTD1"	""	"DKFZp761B1514, UIF"	""	"FYTTD1,,DKFZp761B1514, UIF,"
"FZD3"	""	""	""	"FZD3,,,"
"FZD6"	""	"Hfz6"	""	"FZD6,,Hfz6,"
"FZD9"	""	"FZD3, CD349"	""	"FZD9,,FZD3, CD349,"
"GABPB1"	"GABPB2"	"E4TF1-47, GABPB"	""	"GABPB1,GABPB2,E4TF1-47, GABPB,"
"GABPB2"	""	"MGC29891"	""	"GABPB2,,MGC29891,"
"GABRA5"	""	""	""	"GABRA5,,,"
"GABRB3"	""	""	""	"GABRB3,,,"
